coverage,iteration,max_fitness,qd_score,time
1.0742188,1.0,945.53424,38959.664,2.8828788
1.4648438,2.0,945.53424,53227.457,0.002133131
1.6601562,3.0,945.53424,57992.336,0.0027134418
2.1484375,4.0,945.53424,71793.34,0.0024151802
2.5390625,5.0,945.53424,84303.11,0.0020537376
2.734375,6.0,945.53424,90817.695,0.0020489693
3.125,7.0,945.53424,101797.555,0.0020689964
3.125,8.0,966.32104,101818.34,0.0020141602
3.3203125,9.0,966.32104,108324.46,0.0021436214
3.4179688,10.0,966.32104,112116.69,0.002038002
3.4179688,11.0,966.32104,113132.08,0.0020139217
3.515625,12.0,966.32104,116353.64,0.002033949
3.6132812,13.0,966.32104,120449.07,0.0024392605
3.7109375,14.0,966.32104,124667.0,0.002259016
4.1015625,15.0,966.32104,138469.55,0.0025720596
4.3945312,16.0,966.32104,147300.12,0.0019886494
4.4921875,17.0,966.32104,150542.44,0.00324893
4.6875,18.0,966.32104,160593.73,0.001955986
4.8828125,19.0,966.32104,166775.62,0.0019495487
5.1757812,20.0,966.32104,178380.98,0.0019466877
5.2734375,21.0,966.32104,181712.97,0.001977682
5.3710938,22.0,966.32104,184457.25,0.0025451183
5.46875,23.0,966.32104,187690.05,0.0019249916
5.46875,24.0,966.32104,187757.22,0.00192976
5.6640625,25.0,975.6478,195138.0,0.002544403
5.6640625,26.0,975.6478,195592.4,0.001922369
5.7617188,27.0,975.6478,198825.81,0.0021867752
5.9570312,28.0,975.6478,205259.1,0.001967907
6.0546875,29.0,977.0336,208522.28,0.0019171238
6.1523438,30.0,977.0336,211873.67,0.0020229816
6.4453125,31.0,977.0336,222526.33,0.002461195
6.5429688,32.0,977.0336,225737.86,0.0019042492
6.640625,33.0,977.0336,229962.61,0.001909256
6.8359375,34.0,977.0336,236409.81,0.0021297932
7.1289062,35.0,985.00793,247068.11,0.0021584034
7.2265625,36.0,985.00793,250796.38,0.0019214153
7.3242188,37.0,985.00793,254915.97,0.002212286
7.421875,38.0,985.00793,258181.6,0.0019669533
7.421875,39.0,985.00793,258181.6,0.0019705296
7.6171875,40.0,985.00793,262831.22,0.0023899078
7.6171875,41.0,985.00793,262847.25,0.0018994808
7.6171875,42.0,985.00793,262924.56,0.002257824
7.9101562,43.0,985.00793,272989.94,0.0031473637
7.9101562,44.0,985.00793,273034.3,0.0019083023
