coverage,iteration,max_fitness,qd_score,time
1.4648438,1.0,464.52036,2884.922,6.9909105
1.953125,2.0,464.52036,4068.2798,0.0048208237
2.2460938,3.0,464.52036,4659.212,0.008550167
2.6367188,4.0,464.52036,5298.231,0.0066776276
2.734375,5.0,464.52036,5592.621,0.008305788
3.0273438,6.0,464.52036,6376.5977,0.008306503
3.4179688,7.0,464.52036,7424.7036,0.008412361
3.90625,8.0,474.79016,8836.881,0.008372068
4.4921875,9.0,474.79016,10485.906,0.008564949
5.078125,10.0,474.79016,12107.244,0.00666523
5.5664062,11.0,515.4716,13886.164,0.0066444874
5.7617188,12.0,515.4716,14500.487,0.008111954
6.4453125,13.0,726.80994,16679.873,0.008536816
6.9335938,14.0,726.80994,18668.908,0.006549835
7.5195312,15.0,726.80994,20933.018,0.0084421635
8.105469,16.0,726.80994,22648.367,0.0066349506
8.300781,17.0,726.80994,23412.47,0.0066690445
8.59375,18.0,726.80994,23987.908,0.007764578
8.7890625,19.0,726.80994,24536.268,0.008389235
8.984375,20.0,726.80994,25205.057,0.008026361
9.082031,21.0,726.80994,25566.447,0.008492947
9.5703125,22.0,726.80994,26886.09,0.008273125
10.15625,23.0,726.80994,28629.23,0.008455992
10.644531,24.0,726.80994,30464.314,0.008355379
11.035156,25.0,726.80994,31770.53,0.008508921
11.71875,26.0,726.80994,33828.05,0.0083630085
12.109375,27.0,726.80994,35147.0,0.008149624
12.402344,28.0,726.80994,36015.88,0.008262396
12.792969,29.0,726.80994,37504.848,0.008363962
13.4765625,30.0,726.80994,40026.816,0.0085783005
13.671875,31.0,726.80994,40731.215,0.0065686703
14.2578125,32.0,726.80994,42871.934,0.008323908
14.6484375,33.0,726.80994,44443.05,0.008369207
15.136719,34.0,726.80994,46371.28,0.007950544
15.625,35.0,726.80994,47817.902,0.0066554546
16.113281,36.0,726.80994,49628.15,0.0065665245
16.601562,37.0,726.80994,51868.207,0.008511782
16.992188,38.0,726.80994,53054.637,0.0066096783
17.382812,39.0,726.80994,54439.367,0.007919788
17.480469,40.0,726.80994,54671.96,0.008100033
17.773438,41.0,726.80994,55840.67,0.008303165
18.066406,42.0,726.80994,56996.707,0.008229256
18.359375,43.0,726.80994,58569.37,0.008621216
18.75,44.0,726.80994,60782.86,0.0063385963
19.140625,45.0,726.80994,62453.97,0.008014679
19.53125,46.0,726.80994,63998.55,0.008264303
19.726562,47.0,726.80994,64825.207,0.008350134
20.214844,48.0,726.80994,66671.766,0.008392572
20.410156,49.0,726.80994,67520.484,0.008180857
20.800781,50.0,726.80994,69821.07,0.008335352
21.289062,51.0,726.80994,72360.055,0.008193493
21.582031,52.0,726.80994,74197.37,0.007972956
21.679688,53.0,726.80994,74706.23,0.008271933
21.972656,54.0,726.80994,75656.26,0.008375883
22.167969,55.0,726.80994,76166.69,0.0079267025
22.558594,56.0,726.80994,77860.11,0.0073435307
22.753906,57.0,726.80994,79118.88,0.0074841976
22.949219,58.0,726.80994,79877.086,0.008249044
23.339844,59.0,726.80994,81660.78,0.008162022
23.4375,60.0,726.80994,82089.2,0.0082883835
23.535156,61.0,726.80994,82630.766,0.008336544
23.730469,62.0,726.80994,83432.586,0.008359432
23.828125,63.0,726.80994,84022.48,0.008383036
24.023438,64.0,726.80994,84641.79,0.008267164
24.414062,65.0,726.80994,86320.836,0.008021116
24.609375,66.0,726.80994,87133.45,0.008568764
